一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
为[為]	 	說文: 母猴也其為禽好爪爪母猴象也下腹為母猴形王育曰爪象形也Phon: 為 wei4 wei2  (productive phonetic)Simplify: (super cursive simplification 為为)
主[主]	 	說文: 鐙中火主也從**象形從丶丶亦聲臣鉉等曰今俗別作炷非是Etym: Primitive pictograph 主. Modified wood 木, a torch with a light 灯心. Later meaning master.Phon: 主 zhu3 zhu4  (productive phonetic)
丽[麗]	 	說文: 旅行也鹿之性見食急則必旅行從鹿丽聲禮麗皮納聘蓋鹿皮也Etym: Deletion remnant 丽(t麗). From a deer 鹿 with horns 丽. Meaning beautiful.Phon: 麗 li4 si1  (productive phonetic)Simplify: (deletion 丽(麗-鹿))
举[舉]	 	說文: 對舉也從手與聲Etym: From hand 手 and phonetic（also multiple hands) 兴與. Meaning to raise.Phon: 與 yu4 yu3 yu2 与 yu2 (舁 yu2) Simplify: (super cursive simplification 举舉)
乃[乃]	 	說文: 曳詞之難也象气之出難凡**之屬皆從**臣鉉等曰今隸書作乃Etym: Primitive pictograph 乃. Origin unclear. Meaning then.Phon: 乃 nai3 reng2  (productive phonetic)
久[久]	 	說文: 以後灸之象人兩脛後有踞也周禮曰久諸牆以觀其橈凡久之屬皆從久Etym: Primitive pictograph 久. A foot pring indicating time passed by. Meaning a long time.Phon: 久 jiu3  (productive phonetic)
乇[乇]	 	說文: 艸葉也從垂穗上貫一下有根象形凡乇之屬皆從乇Etym: Primitive pictograph 乇. A sprout.Phon: 乇 zhe2 tuo1  (productive phonetic)
么[么]	 	說文: 小也象子初生之形凡幺之屬皆從幺Phon: 么 yao1  (productive phonetic)
义[義]	 	說文: 已之威儀也從我羊臣鉉等曰與善同意故從羊Etym: Super cursive remnant 义義. From my 我  and goat 羊. The generocity of giving a goat as a sacrifice each year to the poor. Meaning generocity.Phon: 義 yi4 我 wo3  (productive phonetic)Simplify: (super cursive simplification 义(义乂)義)
之[之]	 	說文: 出也象艸過屮枝莖益大有所之一者地也凡之之屬皆從之Etym: Primitive pictograph 之㞢𡳿. Augmentation of foot 止 going forward from 一. Originally indicating to go forward .Phon: 之 zhi1 zhi4  (productive phonetic)
乌[烏]	 	說文: 孝鳥也象形孔子曰鳥盱呼也取其助气故以為烏呼凡烏之屬皆從烏Etym: Primitive pictograph 乌烏. A crow. Meaning crow. See 鸟鳥Phon: 烏 wu1 wu4  (productive phonetic)Simplify: (super cursive simplification 乌烏)
乍[乍]	 	說文: 止也一曰亡也從亡從一徐锴曰出亡得一則止暫止也Etym: Primitive pictograph 乍. Original of 作. Believed to be the stiching of cloths together. Original meaning work.Phon: 乍 zha4 zuo4  (productive phonetic)
乎[乎]	 	說文: 語之餘也從兮象聲上越揚之形也Etym: Primitive pictograph 乎. （Unlikely explanation is a picture of sound going up from throat). Meaning exclamatory final particle.Phon: 乎 hu1  (productive phonetic)
乏[乏]	 	說文: 春秋傳曰反正為乏Etym: Primitive pictograph 乏. Mirror image of 正. Meaning not correct.Phon: 乏 fa2 fan4  (productive phonetic)
乐[樂]	 	說文: 五聲八音總名象鼓鞞木虡也Etym: Super cursive remnant Compound pictograph 乐樂.  Believd to be some drums on a wooden rack. Meaning music.Phon: 樂 le4 yao4 luo4  (productive phonetic)Simplify: (super cursive simplification 乐樂)
乒[乒]	 	Etym: Special 乒. Modification of 兵 for sound 乒 乓 (ping pong)Phon: 乒 ping1 left half of 兵 bing1
乓[乓]	 	Etym: Special 乓. Modification of 兵 for sound 乒 乓 (ping pong)Phon: 乓 pong1 right half of 兵 bing1
乔[喬]	 	說文: 高而曲也從夭從高省詩曰南有喬木Etym: Super cursive remnant 乔喬. From tall building 高 and phonetic 夭. Meaning lofty.Phon: 喬 qiao2 jiao1 jiao3 高 gao1  (productive phonetic)Simplify: (super cursive simplification 乔喬)
乖[乖]	 	說文: 戾也從D840 DC65而****古文別臣鉉等曰**篆文分別字也Etym: Primitive pictograph 乖. Originally meaning rebel, now meaning obedient. Originally probably ram's horns with two people in opposition.
乘[乘]	 	說文: 覆也從入桀桀黠也軍法曰乘Etym: Primitive pictograph 乘. A man climbing a tree, thus to get on, of to board.Phon: 乘 cheng2 sheng4  (productive phonetic)
乙[乙]	 	說文: 象春艸木冤曲而出陰气尚彊其出乙乙也與｜同意乙承甲象人頸凡乙之屬皆從乙Etym: Primitive pictograph 乙. Unclear origin, in context it is often a kneeling person. Some say it represents a sprout. Meaning "two".
九[九]	 	說文: 陽之變也象其屈曲究盡之形凡九之屬皆從九Etym: Primitive pictograph 九. A couple of hooks 九. Borrowed for sound to mean nine.Phon: 九 jiu3  (productive phonetic)
乞[乞]	 	Etym: Primative pictograph 乞. Originally 气 reduced by a stroke and borrowed for sound to mean 乞丐 begar.Phon: 乞 qi3 qi4  (productive phonetic)
也[也]	 	說文: 女陰也象形Etym: Primitive pictograph 也. Unclear origin (1) original of 匜 (2) a snake, and othrs ?. Modern meaning also.Phon: 也 yi2 ye3 ta1  (productive phonetic)
习[習]	 	說文: 數飛也從羽從白凡習之屬皆從習Etym: Deletion remnant 习(t習). From wings 羽 (to practice flying with) and phonetic 白*. Meaning practice.Phon: 習 xi2  (productive phonetic)Simplify: (deletion 习(習-习-白))
乡[鄉]	 	說文: 國離邑民所封鄉也嗇夫別治封圻之內六鄉六鄉治之從D861 DEDC皀聲Etym: Deletion remnant 乡(t鄉). From city 乡邑 and food 皀  and city 阝邑. Meaning rural.Phon: 鄉 xiang1 xiang4 皀 xiang1  (productive phonetic)Simplify: (deletion 乡(鄉-皀-阝))
书[書]	 	說文: 箸也從聿者聲Etym: Primitive pictograph 书書. A hand (top) with a brush writing what is said 曰. Meaning book.Phon: 者 zhe3 zhu1 zhu4 Simplify: (super cursive simplification 书書)
乩[乩]	 	說文: 卜以問也疑也從口卜讀與稽同書云 卟疑
买[買]	 	說文: 市也從网貝孟子曰登壟斷而网市利Etym: Cursive remnant 买買. From cowary 贝貝 and net 罒网 (to bring something home in a net bag). Meaning to buy.Phon: 買 mai3  (productive phonetic)Simplify: 买買(super)
乱[亂]	 	說文: 治也從乙乙治之也從**Etym: From tongue 舌(twisted threads 𤔔) and remnant string乚. Meaning confusion.Phon: (亂-乙 D851 DD14) luan4 Simplify: (ccs𤔔舌)
乳[乳]	 	說文: 人及鳥生子曰乳獸曰產從孚從乙乙者玄鳥也明堂月令玄鳥至之日祠于高禖以請子故乳從乙請子必以乙至之日者乙春分來秋分去開生之候鳥帝少昊司分之官也Etym: Compound pictograph 乳. From woman kneeling 乚 and  孚 holding a child 子 with her hand  爪. Meaning nipple or milk.
乾[乾]	 	說文: 上出也從乙乙物之達也倝聲Etym: From second celestial stem (possibly indicating a sprout) 乙 and phonetic 倝. Meaning penetrating, fertalizing, warm, dry.Phon: 倝 gan4 Simplify: ( character substitution 21干乾)
了[了]	 	說文: 尦也從子無臂象形凡了之屬皆從了
予[予]	 	說文: 推予也象相予之形凡予之屬皆從予Etym: Primitive pictograph 予. A shuttle 穿梭 which is given from hand to hand, original meaning to give.Phon: 予 yu2 yu3 zhu4  (productive phonetic)
争[爭]	 	說文: 引也從D842 DF2A臣鉉等曰音曳D842 DF2A*二手也而曳之爭之道也Etym: Primitive pictograph 争爭. Two hands pulling on a rope. Meaning a dispute.Phon: 爭 zheng1 zheng4  (productive phonetic)
事[事]	 	說文: 職也從史之省聲Etym: Primitive pictograph 事. A hand 又 writing down what is said 口. Meaning business, which is written down. See 史吏
二[二]	 	說文: 地之數也從偶一凡二之屬皆從二Etym: Primitive pictograph 二. Two marks indicating two.Phon: 二 er4  (productive phonetic)
于[于]	 	說文: 於也象气之舒亏從丂從一一者其气平之也凡亏之屬皆從亏今變隸作于Phon: 于 yu2 yu1 xu1  (productive phonetic)
亏[虧]	 	說文: 气損也從亏雐聲Etym: Addition primitive 虧亏.Phon: 亏 kui1 yu2 Simplify: (deletion 亏(虧-雐))
云[云]	 	說文: 古文省雨Phon: 云 yun2  (productive phonetic)
互[互]	 	說文: 䇘或省Etym: Primitive pictograph 互. Probably Chinese roof tiles which interlock with eachother. Meaning mutually.
五[五]	 	說文: 行也從二陰陽在天地閒交午也凡五之屬皆從五臣鉉等曰二天天地也Etym: Primitive pictograph 五. {Sears: 二 top and botom bars for of beeds on the 5+2 abacus 㐅  the separation}. Meaning 5.Phon: 五 wu3  (productive phonetic)
井[井]	 	說文: 八家一井象溝韓形˙罋之象也古者伯益初作井凡井之屬皆從井Etym: Primitive pictograph 井. A square well.Phon: 井 jing3  (productive phonetic)
亘[亙]	 	說文: 竟也從木恆聲Etym: Primitive pictograph 亘亙. Possibly a boat or more likely the moon going from one point to another*. Meaning to extend across.Phon: 亙 gen4 geng4  (productive phonetic)
亚[亞]	 	說文: 醜也象人局背之形賈侍中說以為次弟也凡亞之屬皆從亞Etym: Addition primitive 堊亚亞.  A house with 4 corners (often can see people and things inside) also meaning the adobi to make the house. Original meaning house. Meaning AsiaPhon: 亞 ya4 e4  (productive phonetic)Simplify: (super cursive simplification 亚亞)
些[些]	 	說文: 語辭也見楚辭從此從二其義未詳Etym: From here 此 and two 二. Meaning a few.Phon: 此 ci3 止 zhi3 
亟[亟]	 	說文: 敏疾也從人從口從又從二二天地也徐鎧曰承天之時因地之利口謀之手執之時不可失疾也Phon: 亟 ji2  (productive phonetic)
亡[亡]	 	說文: 逃也從入從∟凡亡之屬皆從亡Etym: Primitive pictograph 亡. A man in a tomb. Meaning death or not seen.Phon: 亡兦 wang2 wang4 meng2  (productive phonetic)
亢[亢]	 	說文: 人頸也從大省象頸脈形凡亢之屬皆從亢Etym: Augmented pictograph 亢. Augmentation * and man 大 (with legs apparently tied). Meaning to resist or exsagerate. *Phon: 亢 kang4 gang1 geng1  (productive phonetic)
交[交]	 	說文: 交脛也從大象交形凡交之屬皆從交Etym: Primitive pictograph 交. A man stepping over something 交, with crossed legs. Meaning intersect.Phon: 交 jiao1  (productive phonetic)
亥[亥]	 	說文: 荄也十月微陽起椄盛陰從二二古文上字一人男一女也從乙象褢子咳咳之形春秋傳曰亥有二首六身凡亥之屬皆從亥Etym: Primitive pictograph 亥. Unknown origin. Meaning 12th terrestial branch.Phon: 亥 hai4  (productive phonetic)
亦[亦]	 	說文: 人之臂亦也從大象雨亦之形凡亦之屬皆從亦臣鉉等曰今別作腋非是Etym: Primitive pictograph 亦. Usually believed to be arm pits 腋窝, borrowed for sound to mean also.Phon: 亦 yi1  (productive phonetic)
产[產]	 	說文: 生也從生彥省聲Etym: *Deletion remnant 产(t產). From birth 生 and person 文 and 厂. Original meaning to give birth.Phon: 產 chan3 彥 yan4  (productive phonetic)
亨[亨]	 	說文: 孰也從亯從羊讀若純一曰鬻也Etym: Primitive pictograph 亨. From (on top) 亯 and sheep (on bottom) 羊. Meaning smoothly.Phon: 亨 heng1  (productive phonetic)
亩[畝]	 	說文: 六尺為步步百為畮從田每聲Etym: Deletion remnant 亩(t畝). From land 田 and measuring divice 十 and foot 久夊. Meaning a measure for lands.Phon: 母 mu3 Simplify: (deletion 亩(畝-久))
享[享]	 	說文: 篆文亯Etym: Primitive pictograph 享. From 亯𠅖 A house with a court yard. Meaning enjoyment.Phon: 享 xiang3 chun2 guo1 peng1  (productive phonetic)
京[京]	 	說文: 人所為絕高丘也從高省丨象高形凡京之屬皆從京Etym: Primitive pictograph 京. Modification of high 高 building. Meaning capital city.Phon: 京 jing1  (productive phonetic)
亭[亭]	 	說文: 民所安定也亭有樓從高省丁聲Etym: From remnant tall 高 and phonetic 丁. Meaning pavilion.Phon: 亭 ting2 丁 ding1  (productive phonetic)
亮[亮]	 	說文: 事有不善言**也爾雅**薄也從旡京聲臣鉉等曰今俗隸書作亮Etym: From person 儿 (in the city) and tall building 高. Meaning bright.
亲[親]	 	說文: 至也從見**聲Etym: Deletion remnant 亲(t親). From see 见見 and phonetic 亲.  Meaning pairents.Phon: 親 qing4 qin1 亲 qin1 辛 xin1  (productive phonetic)Simplify: (deletion 亲(親-見))
亳[亳]	 	說文: 京兆社陵亭也從高省乇聲
亵[褻]	 	說文: 私服從衣埶聲詩曰是褻袢也臣鉉等曰從熱省乃得聲Phon: 埶 yi4 shi4 Simplify: (衣) (super cursive simplification (坴圥)(执扌)埶))
人[人]	 	說文: 天地之性最貴者也此籀文象臂脛之形凡人之屬皆從人Etym: Primitive pictograph 人. A person in profile. Meaning person.
亿[億]	 	說文: 安也從人**聲Etym: From person 亻人 and phonetic 乙. Meaning manyPhon: 意 yi4 Simplify: (亻) left of (phonetic-phonetic substitution 乙意)
什[什]	 	說文: 相什保也從人十Etym: From person 亻人 and phonetic 十. Meaning ten soldiers.Phon: 十 shi2 
仁[仁]	 	說文: 親也從人從二臣鉉等曰仁者兼愛故從二Etym: From person 亻人 who may relate to another person and two people 二. Meaning benevolence
仄[仄]	 	說文: 側傾也從人在厂下
仅[僅]	 	說文: 材能也從人堇聲Etym: From person 亻人 and phonetic 又堇. Borrowed for sound, meanin only.Phon: 堇 jin3 Simplify: (亻) left of (super cursive simplification 又菫))
仆[仆]	 	說文: 頓也從人卜聲Phon: 卜 bu3 pu1 
仇[仇]	 	說文: 讎也從人九聲Phon: 九 jiu3 
今[今]	 	說文: 是時也從亼從フフ古文及Etym: Primitive pictograph 今. A mouth from above 亼 talking. Meaning now.Phon: 今 jin1  (productive phonetic)
介[介]	 	說文: 畫也從八從人人各有介Etym: Augmented pictograph 介. Augmentation to man 人. Meaning thought to be a man with armor proteting the border. Meaning border.Phon: 介 jie4  (productive phonetic)
仍[仍]	 	說文: 因也從人乃聲Etym: From person 亻人 and phonetic 乃. Borrowed for sound. Meaning still.Phon: 乃 nai3 reng2 
从[從]	 	說文: 隨行也從辵從從亦聲Etym: Deletion remnant 从(t從). From 2 persons 人 从  and phonetic one following the other. Meaning from.Phon: 從 cong2 zong1 zong4 song3 从 cong2 zong4  (productive phonetic)Simplify: (deletion 从(從-彳-止))
仑[侖]	 	說文: 思也從亼從冊Etym: Cursive remnant 仑侖. From an inverted mouth 人亼 which reads the books 匕册冊. Meaning discussion.Phon: 侖 lun2  (productive phonetic)Simplify: (super cursive simplification 仑侖)
仓[倉]	 	說文: 榖藏也倉黃取而藏之故謂之倉從食省口象倉形凡倉之屬皆從倉Etym: Cursive remnant 仓倉. From remnant to eat 食 and mouth 口. Meaning grainry.Phon: 倉 cang1  (productive phonetic)Simplify: (super cursive simplification 仓倉)
仔[仔]	 	說文: 克也從人子聲Etym: From person 亻人 and phonetic 子. Meaning child.Phon: 子 zi3 
仕[仕]	 	說文: 學也從人從士Phon: 士 shi4 
仗[仗]	 	Etym: From person 亻人 and phonetic 丈. Meaning protector.Phon: 丈 zhang4 
付[付]	 	說文: 與也從寸持物對人臣鉉等曰寸手也Etym: From person 亻人 and hand with something in it 寸. Meaning to give.Phon: 付 fu4  (productive phonetic)
仙[仙]	 	Etym: From person 亻人 and phonetic 山. Meaning a daoist super-being.Phon: 山 shan1 
仝[仝]	 	說文: 完也從入從工
仞[仞]	 	說文: 伸臂一尋八尺從人刃聲Phon: 刃 ren4 
代[代]	 	說文: 更也從人弋聲臣鉉等曰弋非聲說文忒字與此義訓同疑兼有忒音Etym: From person 亻人 and　calapers (indicating to copy) 弋. Meaning to substitute.Phon: 代 dai4  (productive phonetic)
令[令]	 	說文: 發號也從亼卪徐锴曰號令者集而為之卪制也Etym: Primitive pictograph 令. Inverted mouth 亼 giving orders from above to a person kneeling卩. Meaning to order.Phon: 令 ling4  (productive phonetic)
以[以]	 	說文: 用也從反巳賈侍這說巳意巳實也象形Etym: Primitive pictograph 以. Usually a pictograph of a mouth, often making some kind of sound. Borrowed for sound. Meaning by by means of.Phon: 以厶 yi3 si4  (productive phonetic)
仪[儀]	 	說文: 度也從人義聲Etym: From person 亻人 and phonetic 义. Meaning cerimonyPhon: 義 yi4 我 wo3 Simplify: (亻) left of (s义義)
们[們]	 	Etym: From person 亻人 and phonetic 门門. Meaning person plural.Phon: 門 men2 Simplify: (亻) left of (s门門)
仰[仰]	 	說文: 舉也從人從卬Etym: From person 亻人 and phonetic 卬. Meaning to adore.Phon: 卬 ang2 yang3 
仲[仲]	 	說文: 中也從人從中中亦聲Etym: From person 亻人 and phonetic 中. Meaning go between.Phon: 中 zhong1 zhong4 
仳[仳]	 	說文: 別也從人比聲詩曰有女仳離Phon: 比 bi3 bi4 
件[件]	 	說文: 分也從人從牛牛大物故可分Etym: From person 亻人 and his cow 牛. Meaning a unit.
任[任]	 	說文: 符也從人壬聲Etym: From person 亻人 and phonetic 壬(ren) not 𡈼 (ting). Meaning duty.Phon: 任 ren2 ren4 壬 ren2  (productive phonetic)
份[份]	 	說文: 文質僣也從人分聲論語曰文質份份Etym: From person 亻人 who gets a portion and phonetic (also meaning to portion) 分. Meaning portion.Phon: 分 fen1 fen4 ban4 
仿[仿]	 	說文: 相似也從人方聲Etym: From person 亻人 who can be imitated and phonetic 方. Meaning to imitate.Phon: 方 fang1 fang3 pang2 
企[企]	 	說文: 舉踵也從人止聲Etym: From person 人 and phonetic 止. Meaning stand on tiptoe.
伉[伉]	 	說文: 人名從人亢聲論語有陳伉Phon: 亢 kang4 gang1 geng1 
伊[伊]	 	說文: 殷聖人阿衡尹治天下者從人從尹Etym: From person 亻人 and phonetic 尹. Meaning he, she, this, that.Phon: 尹 yin3 
伍[伍]	 	說文: 相參伍也從人從五Etym: From person 亻人 and phonetic 五. Meaning troops.Phon: 五 wu3 
伏[伏]	 	說文: 司也從人從犬臣鉉等曰司今人作伺Etym: From person 亻人 and a dog 犬. Meaning to crouch.Phon: 伏 fu2  (productive phonetic)
伐[伐]	 	說文: 擊也從人持戈一曰敗也Etym: From person 亻人 and weapon 戈. Meaning to subjugate.Phon: 伐 fa2  (productive phonetic)
休[休]	 	說文: 息止也從人依木Etym: From person 亻人 and tree undre which to rest 木. Meaning rest.Phon: 休 xiu1  (productive phonetic)
众[眾]	 	說文: 多也從**目眾意Etym: Deletion remnant 众(t眾). From 3 persons 人. Meaning the masses. In the traditional character 众眾 an eye 罒目 looking over the people. Meaning the masses.
会[會]	 	說文: 合也從亼從曾省曾益也凡會之屬皆從會Etym: Super cursive remnant 会會. From mouth above 亼 and remnant to talk 曾. Meaning meeting.Phon: 會 hui3 hui4 kuai4 gui4  (productive phonetic)Simplify: (super cursive simplification 会會)
伞[傘]	 	Etym: Primitive pictograph 伞傘. An umbrella.Simplify: (super cursive simplification 伞傘)
伟[偉]	 	說文: 奇也從人韋聲Etym: From person 亻人 who is strong and phonetic 韦*. Meaning great.Phon: 韋 wei2 hui2 Simplify: (亻) left of (s韦韋)
传[傳]	 	說文: 遽也從人專聲Etym: From person 亻人 and phonetic 专専. Meaning to summon.Phon: 專 zhuan1 tuan2 chuan2 叀 zhuan1 hui4 Simplify: (亻) left of (s专專)
伤[傷]	 	說文: 創也從人**省聲Etym: From person 亻人 and phonetic *. Meaning wound.Phon: (傷-亻 D842 DF36) qin1 qin3 昜 yang2 Simplify: (亻) left of (super cursive simplification (力昜**伤傷)
伥[倀]	 	說文: 狂也從人長聲一曰什也Phon: 長 chang2 zhang3 zhang1 zhang4 Simplify: (亻) left of (s长長)
伦[倫]	 	說文: 輩也從人侖聲一曰道也Etym: From person 亻人 and phonetic 仑侖. Meaning normal human relations.Phon: 侖 lun2 Simplify: (亻) left of (s仑侖)
伪[偽]	 	說文: 詐也從人為聲Etym: From person 亻人 who may be a liar and phonetic 为*.  Meaning false.Phon: 為 wei4 wei2 
伫[佇]	 	說文: 久立也從人從宁Phon: 宁 zhu4 
伯[伯]	 	說文: 長也從人白聲Etym: From person 亻人 and phonetic 白. Meaning chief.Phon: 白 bai2 
估[估]	 	Etym: From person 亻人 and phonetic 古. Meaning murchant.Phon: 古 gu3 gu4 ku1 
伴[伴]	 	說文: 大皃從人半聲Etym: From person 亻人 and phonetic 半. Meaning companion (半 also means one half.)Phon: 半 ban4 
伶[伶]	 	說文: 弄也從人令聲益州有建伶縣Etym: From person 亻人 and phonetic 令. Meaning lonely.Phon: 令 ling4 
伸[伸]	 	說文: 屈伸從人申聲Etym: From person 亻人 who might be trusted and phonetic 申. Meaning to trust.Phon: 申 shen1 
伺[伺]	 	說文: 候望也從人司聲自低已下六字從人皆後人所加Etym: From person 亻人 and phonetic 司. Meaning to serve.Phon: 司 si1 
似[似]	 	說文: 象也從人**聲Etym: From person 亻人 who look alike and phonetic 以. Meaning to resemble.Phon: 以厶 yi3 si4 
佃[佃]	 	說文: 中也從人田聲春秋傳曰乘中佃一轅車Etym: From person 亻人 and phonetic 田. Meaning tennant farmer.Phon: 田 tian2 
但[但]	 	說文: 裼也從人旦聲Etym: From person 亻人 alone and phonetic 旦. Meaning only.Phon: 旦 dan4 
位[位]	 	說文: 列中庭之左右謂之位從人立Etym: From person 亻人 and phonetic 立. Meaning a place to sit or stand.Phon: 位 wei4  (productive phonetic)
低[低]	 	說文: 下也從人氐氐亦聲Etym: From person 亻人 and phonetic (also meaning lower) 氐. Meaning to bow.Phon: 氐 di1 di3 zhi1 氏 shi4 zhi1 
住[住]	 	Etym: From person 亻人 and phonetic 主. Meaning where a person lives.Phon: 主 zhu3 zhu4 
佑[佑]	 	Etym: From person 亻人 and phonetic 右. Meaning a person that helps, or help.Phon: 右 you4 又 you4 
何[何]	 	說文: 儋也從人可聲臣鉉等曰儋何即負何也借為誰何之何今俗別作擔荷非是Etym: Primitive pictograph 何. From person 亻人 and carying a scythe 可. Derived meaning why.Phon: 何 he2 可 ke3 ke4  (productive phonetic)
